"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC3A2",1.18005184922464e-06,0.504110844890752,0.582,0.32,0.0304111162063681,"hNC","SLC3A2"
"B4GALT1.2",1.19341536201984e-06,0.379579580430145,0.304,0.131,0.0307555072946132,"hNC","B4GALT1"
"SLC27A3.1",1.36201133071146e-06,0.25174625020766,0.177,0.054,0.0351003940037649,"hNC","SLC27A3"
"MATN4.7",1.37090146405058e-06,-1.69219697515045,0.025,0.264,0.0353295016300474,"hNC","MATN4"
"CHURC1",1.45006729591251e-06,0.471742569086948,0.709,0.438,0.0373696842829613,"hNC","CHURC1"
"YDJC",1.45135002211479e-06,0.354454212401318,0.278,0.11,0.0374027414199202,"hNC","YDJC"
"RPS19",1.48994144875448e-06,0.277191741462079,1,0.999,0.0383972810758518,"hNC","RPS19"
"LYPLA2.1",1.56957966994094e-06,0.373567882279943,0.506,0.271,0.0404496376740479,"hNC","LYPLA2"
"TGIF1.1",1.60584789261348e-06,0.511308657722026,0.595,0.352,0.041384306040542,"hNC","TGIF1"
"IER5.2",2.00231179282434e-06,0.357595151493209,0.241,0.09,0.0516015772128761,"hNC","IER5"
"SAT2.2",2.01083790356025e-06,-0.625558137740081,0.456,0.651,0.0518213036126513,"hNC","SAT2"
"NFE2L2.1",2.0200622543511e-06,0.531953263911378,0.532,0.311,0.0520590243568823,"hNC","NFE2L2"
"RANBP1.4",2.05212118377154e-06,-0.580854570808894,0.772,0.881,0.0528852150269763,"hNC","RANBP1"
"GNG12",2.17619495077976e-06,0.263363696188829,0.316,0.131,0.0560827200765451,"hNC","GNG12"
"CYTH2",2.18967264846994e-06,0.395778954901673,0.481,0.236,0.0564300538237187,"hNC","CYTH2"
"TSHZ2.5",2.25756617698017e-06,-0.654003136770493,0.038,0.281,0.0581797379469559,"hNC","TSHZ2"
"PCLAF.4",2.2694181955162e-06,-0.997603170906802,0.253,0.511,0.0584851763166481,"hNC","PCLAF"
"ILF2.3",2.28885565777821e-06,-0.510450163845236,0.785,0.852,0.0589860991566023,"hNC","ILF2"
"PLEKHO1.1",2.45320531786525e-06,-0.557223583289374,0.392,0.596,0.0632215542467053,"hNC","PLEKHO1"
"EBF1.2",2.51592507733164e-06,-0.622535893832124,0.013,0.242,0.0648379051679138,"hNC","EBF1"
"FAP.6",2.68525037496518e-06,-0.605709627634544,0.013,0.238,0.0692015874132277,"hNC","FAP"
"TSPAN31",2.71370064423538e-06,0.273536132033062,0.38,0.171,0.0699347793025899,"hNC","TSPAN31"
"AC245297.3.2",2.76705899681364e-06,0.355048414885175,0.405,0.192,0.0713098774068843,"hNC","AC245297.3"
"ANP32B.4",2.80355728698244e-06,-0.537364253824585,0.823,0.878,0.0722504748428243,"hNC","ANP32B"
"LMNA.3",2.89903936704635e-06,0.338520497717788,0.38,0.181,0.0747111435281516,"hNC","LMNA"
"CBX1.4",3.07127032636548e-06,-0.554343403849735,0.57,0.745,0.0791497075807647,"hNC","CBX1"
"TMEM68",3.17630106561554e-06,0.393914777532463,0.316,0.137,0.081856454761978,"hNC","TMEM68"
"RPL36AL.2",3.22732038365306e-06,0.386042338488995,0.924,0.845,0.0831712736071231,"hNC","RPL36AL"
"LMBRD1",3.34537930910376e-06,0.253874898995767,0.329,0.14,0.0862137701749129,"hNC","LMBRD1"
"IL11RA.6",3.4036159488198e-06,-0.620529273970437,0.165,0.424,0.0877145866170351,"hNC","IL11RA"
"PDXDC1",3.46422426026553e-06,0.296931927212369,0.253,0.095,0.0892765234113029,"hNC","PDXDC1"
"CETN3",3.63077511461404e-06,0.400016536856624,0.38,0.176,0.0935687054787185,"hNC","CETN3"
"HSPG2.1",3.84861055289379e-06,0.394129902572977,0.304,0.131,0.0991825425586259,"hNC","HSPG2"
"PLPP3.5",4.01010426738974e-06,0.373937867999375,0.329,0.15,0.103344397074901,"hNC","PLPP3"
"NACC1",4.05252535062849e-06,0.34640166572692,0.177,0.057,0.104437630811047,"hNC","NACC1"
"RBMXL1",4.0880022405145e-06,0.295988279456908,0.228,0.084,0.105351905740299,"hNC","RBMXL1"
"NAV2.1",4.26894383480878e-06,0.30327391719608,0.228,0.083,0.110014951566857,"hNC","NAV2"
"EFNA2.1",4.33297355874184e-06,-0.501803908997877,0.025,0.246,0.111665061582336,"hNC","EFNA2"
"PSMA7.1",4.44242191658555e-06,-0.41823824987092,0.924,0.939,0.114485655212326,"hNC","PSMA7"
"CFDP1.3",4.5284175888381e-06,-0.539321622245437,0.57,0.743,0.116701849681947,"hNC","CFDP1"
"SMC3.3",4.68838016926826e-06,-0.59117438167541,0.519,0.664,0.120824245342212,"hNC","SMC3"
"UBE2C.6",4.90357498012793e-06,-1.53989930474426,0.139,0.382,0.126370030812877,"hNC","UBE2C"
"IFI27L2.2",4.95510350855814e-06,0.320176931116895,0.544,0.291,0.127697972519052,"hNC","IFI27L2"
"TUSC1.1",5.03599685444555e-06,0.381201886350325,0.494,0.26,0.129782674935916,"hNC","TUSC1"
"HHIP",5.08333632160995e-06,0.253516345460618,0.203,0.068,0.13100266034421,"hNC","HHIP"
"EPHA3.6",5.40079994696999e-06,-0.79166357805833,0.025,0.241,0.139184015433364,"hNC","EPHA3"
"CD46",5.43773246862111e-06,0.657977097283807,0.532,0.313,0.140135803448835,"hNC","CD46"
"PCDH18.6",5.57035620727799e-06,-0.743975513337832,0.152,0.369,0.143553649817761,"hNC","PCDH18"
"DPYSL4.4",5.93275751093382e-06,-0.56416490160939,0.013,0.225,0.152893093814275,"hNC","DPYSL4"
"TYMS.3",6.00498691866995e-06,-0.908001320915777,0.215,0.456,0.154754517881043,"hNC","TYMS"
"EPB41.4",6.07204252126591e-06,-0.444563307696055,0.139,0.395,0.156482607815544,"hNC","EPB41"
"DAG1",6.38208494051568e-06,0.270410584845172,0.228,0.085,0.16447271100203,"hNC","DAG1"
"THY1.4",6.42970842585639e-06,-0.31673660324081,0.101,0.362,0.165700015842745,"hNC","THY1"
"VAMP3.2",6.51812100596347e-06,0.375128996326307,0.342,0.159,0.167978496444685,"hNC","VAMP3"
"DNM1.4",6.92586038742008e-06,-0.520078775968578,0.038,0.256,0.178486348044203,"hNC","DNM1"
"NES.6",6.97388211860747e-06,-0.64175062298505,0.139,0.399,0.179723916078633,"hNC","NES"
"IRF2BPL.3",7.12381287359783e-06,0.424146639753828,0.367,0.179,0.18358778156549,"hNC","IRF2BPL"
"BCAP31.2",7.1935258709561e-06,0.474720391509623,0.658,0.41,0.18538435522041,"hNC","BCAP31"
"SVIL.4",7.24346921559492e-06,0.366631880221416,0.544,0.32,0.186671445155097,"hNC","SVIL"
"BASP1.7",7.49312158345953e-06,-0.757323324726127,0.709,0.807,0.193105236327335,"hNC","BASP1"
"CHCHD10.2",7.56196219249814e-06,-0.623404052414005,0.101,0.333,0.19487932766287,"hNC","CHCHD10"
"FKBP7.2",7.81694167215006e-06,-0.55707131956857,0.114,0.341,0.201450403832979,"hNC","FKBP7"
"SOX9.6",7.92932535436054e-06,-0.810755111488468,0.291,0.528,0.204346643707225,"hNC","SOX9"
"CEBPB.1",8.09574692076506e-06,0.261400844009882,0.177,0.059,0.208635493895036,"hNC","CEBPB"
"PTX3.4",8.40107659656784e-06,-0.646780436730306,0.013,0.22,0.21650414497015,"hNC","PTX3"
"TNKS1BP1",8.65953782743528e-06,0.290339149905723,0.19,0.066,0.223164949350835,"hNC","TNKS1BP1"
"CACHD1",9.51345087171769e-06,0.269913608645064,0.291,0.124,0.245171142415036,"hNC","CACHD1"
"DACT3.4",9.56160398074306e-06,-0.466754938044381,0.013,0.218,0.246412096187729,"hNC","DACT3"
"HOXD9.5",9.65973992119046e-06,-0.569570989038159,0.013,0.218,0.248941157508999,"hNC","HOXD9"
"ZMIZ1.1",9.66751244574563e-06,-0.551329254413823,0.101,0.326,0.249141463239311,"hNC","ZMIZ1"
"NAALADL2",9.89813900305852e-06,0.263633368706951,0.114,0.03,0.255084940247821,"hNC","NAALADL2"
"CCND1.4",1.01337811036932e-05,-0.677295709393457,0.354,0.546,0.261157672823278,"hNC","CCND1"
"GAA.1",1.06402486126516e-05,0.326111631586373,0.291,0.125,0.274209846996644,"hNC","GAA"
"PSIP1.4",1.08248436094258e-05,-0.651087253419872,0.506,0.654,0.278967044658513,"hNC","PSIP1"
"PAX9.5",1.09814876218023e-05,-0.584588525476864,0.025,0.231,0.283003917501467,"hNC","PAX9"
"NDUFA7",1.12681957834268e-05,0.250985034149325,0.367,0.166,0.290392673534691,"hNC","NDUFA7"
"COTL1.6",1.13888989022676e-05,-0.888558149145003,0.316,0.51,0.293503313610337,"hNC","COTL1"
