"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"170","FOXC2",2.134690282554e-12,0.305874958389342,0.383,0.2,3.22615742402386e-08,2,"FOXC2"
"171","DCN",2.05516405523986e-06,0.294949626910188,0.451,0.319,0.03105969436684,2,"DCN"
"172","EBF3",2.50675417640734e-15,0.294771594518761,0.312,0.131,3.78845758680442e-11,2,"EBF3"
"173","PDGFRA",1.3933310404533e-11,0.293988565343254,0.502,0.302,2.10574120143707e-07,2,"PDGFRA"
"174","JUND",0.000141621159667699,0.292019938680177,0.893,0.854,1,2,"JUND"
"175","MYH10",5.07811722833169e-11,0.291176841512529,0.577,0.376,7.67455856717768e-07,2,"MYH10"
"176","TPM1",9.32693071899451e-05,0.287499792690561,0.688,0.605,1,2,"TPM1"
"177","TMSB10",2.47671157253356e-08,0.264933938749276,0.949,0.88,0.000374305419956997,2,"TMSB10"
"178","HSPB1",1.55809673950581e-07,0.259387566242632,0.518,0.371,0.00235475160241514,2,"HSPB1"
"179","TUBB",2.1824002498419e-05,0.255080038007146,0.893,0.814,0.329826149758607,2,"TUBB"
"180","RBP1",6.36265036591134e-14,0.254773105559394,0.316,0.137,9.61587349800181e-10,2,"RBP1"
"181","FBN2",2.92995177077032e-07,0.251586210363476,0.462,0.307,0.00442803611116518,2,"FBN2"
"182","MIR100HG",5.52568443069837e-09,0.250932651942221,0.47,0.301,8.35096688011444e-05,2,"MIR100HG"
"183","PTCH1",3.0248646113701e-66,1.13013996313862,0.915,0.558,4.57147788716364e-62,3,"PTCH1"
"184","HHIP",1.0273941394331e-135,1.11311708570213,0.613,0.073,1.55270076292525e-131,3,"HHIP"
"185","MALAT1",6.06276556993155e-39,0.736860257121348,1,1,9.16265760583756e-35,3,"MALAT1"
"186","POSTN",2.51133039705229e-44,0.725812963445551,0.528,0.17,3.79537362906513e-40,3,"POSTN"
"187","DCN1",3.36483318641474e-31,0.623796886010817,0.638,0.301,5.0852723946286e-27,3,"DCN"
"188","FENDRR",5.55575579887862e-44,0.569288544635482,0.528,0.162,8.39641373884526e-40,3,"FENDRR"
"189","COL9A11",1.3761011720859e-23,0.56325574321705,0.898,0.632,2.07970170137343e-19,3,"COL9A1"
"190","FOS",2.01526669601846e-13,0.56127548519223,0.698,0.519,3.0456725576927e-09,3,"FOS"
"191","GFRA1",1.04551335860272e-56,0.546550240556469,0.34,0.052,1.58008433885629e-52,3,"GFRA1"
"192","PDGFC",3.37411564012495e-54,0.540645476994559,0.46,0.103,5.09930096692083e-50,3,"PDGFC"
